 	10000000000
的	9879786
我	8716145
你	7163193
不	4751093
一	4216291
是	3412888
在	2877518
有	2496781
爱	2353946
了	2262490
心	2129013
人	1831947
e	1723844
o	1678982
天	1658488
想	1523424
a	1512485
着	1444663
来	1417821
要	1387027
那	1371128
这	1368139
就	1302829
情	1241721
过	1232363
为	1210374
会	1203740
到	1188127
个	1174340
里	1097379
说	1071733
么	1023535
们	1011576
多	1009722
n	1000324
也	998251
都	995351
t	994749
好	971869
无	964202
让	958838
再	942327
能	942172
去	927970
没	918640
还	906367
只	905713
上	886697
生	879355
i	864662
起	838712
风	831089
时	823219
y	817272
下	792946
自	791939
中	791255
开	784414
l	782314
h	778767
看	773575
回	771224
s	755626
走	745829
得	733297
如	725289
r	717757
花	689577
梦	651072
谁	643729
相	637538
可	627288
对	623440
地	610464
年	597484
美	585494
已	583557
u	583523
把	581912
大	577349
最	577278
眼	573667
手	571758
后	570516
远	564494
和	557343
真	534911
世	530248
道	524447
出	523960
光	521878
,	518814
别	518545
样	517233
知	512818
他	508858
给	507128
m	502445
夜	500303
太	495134
见	495083
经	490033
间	485137
d	481780
伤	480556
像	478288
小	477920
笑	474265
身	472299
又	471156
放	458715
以	457672
离	456332
月	453351
什	452155
却	450800
感	449965
成	445736
难	442801
明	442249
啦	439524
记	435137
头	432028
啊	431777
己	431626
忘	430590
泪	429939
点	425591
何	421963
子	420148
g	416084
歌	415756
流	412869
山	412052
雨	411982
变	411660
路	407443
水	404566
家	404309
曾	404119
前	401665
当	401093
望	398764
从	396010
等	395427
现	392889
然	390777
快	390026
意	381654
;	381183
&	380772
长	380039
落	379211
留	371627
春	368570
空	368093
白	368050
声	365025
b	364028
w	362877
所	361134
分	360986
飞	359613
愿	359010
永	358424
呀	356800
海	355383
今	354719
边	349075
儿	346899
p	343763
方	341868
每	341299
面	336690
少	335301
乐	333486
深	324413
事	323800
听	322758
怎	320246
很	317586
念	316500
日	316332
唱	315571
果	312262
轻	311401
福	307974
她	307756
才	304940
界	304933
用	299967
此	299421
做	296863
发	290911
红	290708
满	288031
话	286564
向	285671
总	283669
次	282351
温	279615
思	275156
老	271955
忆	270242
定	268933
依	268534
千	266135
动	265424
欢	262019
气	261035
痛	259464
苦	258354
失	258186
清	257678
幸	256233
被	254391
怕	250170
许	248597
候	247925
陪	247669
c	247219
#	247169
些	246599
I	245819
喜	245008
星	243353
万	242934
觉	239027
之	238425
色	238238
力	234189
受	234122
云	232603
活	231820
阳	226874
与	225349
命	224680
丽	221335
带	221026
慢	220610
而	219746
孤	219335
口	219065
哪	218424
往	217420
信	217157
青	217135
切	214574
未	214501
问	214212
v	214130
全	212761
重	212261
k	212210
实	211045
直	210689
言	210530
错	210245
，	209365
因	209352
尽	208908
原	207991
吧	207303
行	206709
安	205756
该	205300
新	204292
待	204004
找	203557
酒	203466
越	203437
独	203309
妈	202672
f	202409
随	200817
神	200454
它	199463
怀	199440
高	198862
三	197755
停	197293
拥	195006
牵	194658
亲	194602
火	193791
住	193456
于	192531
更	190036
打	189564
亮	189563
寂	188808
女	188472
醉	187472
结	187432
抱	186485
算	186308
飘	185401
法	184603
同	183031
脸	181733
够	181573
迷	181240
转	180416
场	180040
种	179556
哭	178876
静	178667
底	178558
片	177863
否	177181
浪	176454
香	176325
冷	175981
几	175815
默	175247
单	173019
恋	172708
请	170890
故	170180
3	170065
将	169405
吹	168364
影	166694
甜	166399
柔	166181
黑	166045
容	165096
